Date,Open,High,Low,Close,Volume
05/18/2021,"568.00","596.25","563.38","577.87","36,830,566"
05/17/2021,"575.55","589.73","561.20","576.83","32,247,801"
05/14/2021,"583.41","592.87","570.46","589.74","33,370,859"
05/13/2021,"601.55","606.46","559.65","571.69","44,184,922"
05/12/2021,"602.49","620.41","586.77","589.89","33,823,648"
05/11/2021,"599.24","627.10","595.60","617.20","46,503,898"
05/10/2021,"664.90","665.05","627.61","629.04","31,392,420"
05/07/2021,"665.80","690.00","660.22","672.37","23,469,170"
05/06/2021,"680.76","681.02","650.00","663.54","27,784,619"
05/05/2021,"681.06","685.30","667.34","670.94","21,901,891"
05/04/2021,"678.94","683.45","657.70","673.60","29,739,320"
05/03/2021,"703.80","706.00","680.50","684.90","27,043,141"
04/30/2021,"667.59","715.47","666.14","709.44","40,758,719"
04/29/2021,"699.51","702.25","668.50","677.00","28,845,449"
04/28/2021,"696.41","708.50","693.60","694.40","22,271,051"
04/27/2021,"717.96","724.00","703.35","704.74","29,437,000"
04/26/2021,"741.00","749.30","732.61","738.20","31,038,500"
04/23/2021,"719.80","737.36","715.46","729.40","28,413,891"
04/22/2021,"741.50","753.77","718.04","719.69","35,590,262"
04/21/2021,"704.77","744.84","698.00","744.12","31,215,510"
04/20/2021,"717.42","737.25","710.69","718.99","35,609,039"
04/19/2021,"719.60","725.40","691.80","714.63","39,686,230"
04/16/2021,"728.65","749.41","724.60","739.78","27,979,529"
04/15/2021,"743.10","743.69","721.31","738.85","27,848,900"
04/14/2021,"770.70","780.79","728.03","732.23","49,017,434"
04/13/2021,"712.70","763.00","710.66","762.32","44,652,809"
04/12/2021,"685.70","704.80","682.09","701.98","29,135,670"
04/09/2021,"677.77","680.97","669.43","677.02","21,437,090"
04/08/2021,"677.38","689.55","671.65","683.80","23,924,330"
04/07/2021,"687.00","691.38","667.84","670.97","26,309,430"
04/06/2021,"690.30","696.55","681.37","691.62","28,271,840"
04/05/2021,"707.71","708.16","684.70","691.05","41,842,770"
04/01/2021,"688.37","692.42","659.42","661.75","35,298,379"
03/31/2021,"646.62","672.00","641.11","667.93","33,337,289"
03/30/2021,"601.75","637.66","591.01","635.62","39,432,359"
03/29/2021,"615.64","616.48","596.02","611.29","28,636,990"
03/26/2021,"641.87","643.82","599.89","618.71","33,852,832"
03/25/2021,"613.00","645.50","609.50","640.39","39,224,848"
03/24/2021,"667.91","668.02","630.11","630.27","33,795,168"
03/23/2021,"675.77","677.80","657.51","662.16","30,491,869"
03/22/2021,"684.59","699.62","668.75","670.00","39,512,219"
03/19/2021,"646.60","657.23","624.62","654.87","42,893,980"
03/18/2021,"684.29","689.23","652.00","653.16","33,369,020"
03/17/2021,"656.87","703.73","651.01","701.81","40,372,449"
03/16/2021,"703.35","707.92","671.00","676.88","32,195,670"
03/15/2021,"694.09","713.18","684.04","707.94","29,423,480"
03/12/2021,"670.00","694.88","666.14","693.73","33,583,840"
03/11/2021,"699.40","702.50","677.18","699.60","36,253,887"
03/10/2021,"700.30","717.85","655.06","668.06","60,605,672"
03/09/2021,"608.18","678.09","595.21","673.58","67,523,328"
03/08/2021,"600.55","620.13","558.79","563.00","51,786,961"
03/05/2021,"626.06","627.84","539.49","597.95","89,396,461"
03/04/2021,"655.80","873.94","600.00","621.44","65,919,531"
03/03/2021,"687.99","700.70","651.71","653.20","30,207,961"
03/02/2021,"718.28","721.11","685.00","686.44","23,732,160"
03/01/2021,"690.11","872.00","685.05","718.43","27,136,240"
02/26/2021,"700.00","706.70","659.51","675.50","41,089,168"
02/25/2021,"726.15","737.21","670.58","682.22","39,023,859"
02/24/2021,"711.85","745.00","694.17","742.02","36,766,953"
02/23/2021,"662.13","713.61","619.00","698.84","66,606,883"
02/22/2021,"762.64","768.50","710.20","714.50","37,269,719"
02/19/2021,"795.00","796.79","777.37","781.30","18,958,260"
02/18/2021,"780.90","794.69","776.27","787.38","17,957,061"
02/17/2021,"779.09","799.84","762.01","798.15","26,078,900"
02/16/2021,"818.00","821.00","792.44","796.22","19,802,320"
02/12/2021,"801.26","817.33","785.33","816.12","23,768,311"
02/11/2021,"812.44","829.88","801.73","811.66","21,622,750"
02/10/2021,"843.64","844.82","800.02","804.82","36,216,090"
02/09/2021,"855.12","859.80","841.75","849.46","15,157,650"
02/08/2021,"869.67","877.77","854.75","863.42","20,161,721"
02/05/2021,"845.00","864.77","838.97","852.23","18,566,641"
02/04/2021,"855.00","856.50","833.42","849.99","15,812,660"
02/03/2021,"877.02","878.08","853.06","854.69","18,343,510"
02/02/2021,"844.68","880.50","842.20","872.79","24,346,211"
02/01/2021,"814.29","842.00","795.56","839.81","25,391,391"
01/29/2021,"830.00","842.41","780.10","793.53","34,990,754"
01/28/2021,"820.00","848.00","801.00","835.43","26,378,051"
01/27/2021,"870.35","891.50","858.66","864.16","27,333,961"
01/26/2021,"891.38","895.90","871.60","883.09","23,131,600"
01/25/2021,"855.00","900.40","838.82","880.80","41,173,398"
01/22/2021,"834.31","848.00","828.62","846.64","20,066,500"
01/21/2021,"855.00","855.72","841.42","844.99","20,598,131"
01/20/2021,"858.74","859.50","837.28","850.45","25,665,881"
01/19/2021,"837.80","850.00","833.00","844.55","25,366,980"
01/15/2021,"852.00","859.90","819.10","826.16","38,777,602"
01/14/2021,"843.39","863.00","838.75","845.00","31,266,330"
01/13/2021,"852.76","860.47","832.00","854.41","33,312,500"
01/12/2021,"831.00","868.00","827.34","849.44","46,270,719"
01/11/2021,"849.40","854.43","803.62","811.19","59,554,152"
01/08/2021,"856.00","884.49","838.39","880.02","75,055,531"
01/07/2021,"777.63","816.99","775.20","816.04","51,498,953"
